words,reply
card arrive,Your card should take one to two weeks to arrive from the date of application.
get card,Your card should take one to two weeks to arrive from the date of application.
hello,Hi there! How are you?
hi,Hi there! How are you?
hey,Hi there! How are you?
bye,Sad to see you go!
good morning,Good morning to you!
great,Awesome!
good,That's great!
how are you?,I'm great! And you?
eat perth,"Heading to Perth? Yummy food awaits, read our blog to find out! https://www.you.co/sg/blog/hoodburger-review-perth-food-guide/"
perth food guide,"Heading to Perth? Yummy food awaits, read our blog to find out! https://www.you.co/sg/blog/hoodburger-review-perth-food-guide/"
perth transport guide,Heading to Perth? We have a transport guide for that : https://www.you.co/sg/blog/perth-airport-city-transperth-public-transport-guide/
2020 long weekends,Check out our 2020 long weekend guide!  https://www.you.co/sg/blog/public-holidays-2020-long-weekends-singapore/
ecotour,Love the nature? Here are some of the best ecotourism destinatins to visit: https://www.you.co/sg/blog/5-best-ecotourism-destinations-you-should-visit/
taipei day trips,6 Best Day Trips from Taipei awaits! Read to find out more : https://www.you.co/sg/blog/taiwan-itinerary-guide-best-day-trips-from-taipei/
things to do in taipei,Going to Taipei? Read our 4D3N Itinerary in Taipei : https://www.you.co/sg/blog/taipei-itinerary-guide-things-to-do/
where to stay in taipei,Finding a place in Taipei? See our guide to better decide! https://www.you.co/sg/blog/where-to-stay-taipei-best-districts-guide/
eat taipei,I love Chinese food! Read our food guide in Taipei for all the must-eats! https://www.you.co/sg/blog/taipei-food-guide-must-eat-restaurants-taipei/
taipei food,I love Chinese food! Read our food guide in Taipei for all the must-eats! https://www.you.co/sg/blog/taipei-food-guide-must-eat-restaurants-taipei/
beijing itinerary,Going to Beijing? See what we recommend! https://www.you.co/sg/blog/beijing-itinerary-guide-things-to-do/
beijing things to do,Read our 4D3N Bejing guide! https://www.you.co/sg/blog/beijing-itinerary-guide-things-to-do/
beijing travel guide,You got what you asked for! Here it is! https://www.you.co/sg/blog/beijing-travel-guide-6-best-historic-sites-you-must-visit/
eat beijng,Yumm yumm! Find out the 5 must-eat restauraunts in Beijing https://www.you.co/sg/blog/beijing-food-guide-best-must-eat-restaurants/
beijing food,Yumm yumm! Find out the 5 must-eat restauraunts in Beijing https://www.you.co/sg/blog/beijing-food-guide-best-must-eat-restaurants/
western australia driving,Hey I know you can't wait for your road trip but do read up on the rules before you go! https://www.you.co/sg/blog/western-australia-driving-guide-road-rules-safety/
western australia road trip,Oh yeah we just might have a guide for that! Here you go : https://www.you.co/sg/blog/western-australia-road-trip-outback-wool-wagon-pathway/
western australia southwest,Ready for your road trip? Our guide will prep you up for that: https://www.you.co/sg/blog/western-australia-road-trip-outback-wool-wagon-pathway/
australia pink lake,Going to the Pink Lake? Consider this itinerary by our community member! https://www.you.co/sg/blog/western-australia-road-trip-outback-wool-wagon-pathway/
